first_home_book, 0
358.716, 358.194, 360.074, 361.508, 364.258, 358.274, 354.825, 362.084, 356.79, 358.6, 352.369, 360.74, 357.529, 369.885, 357.674, 
242.662, 235.79, 234.404, 245.927, 229.408, 232.906, 282.913, 231.18, 230.946, 231.994, 241.752, 269.026, 238.967, 230.183, 235.928, 
140.996, 127.13, 130.683, 144.986, 121.107, 122.874, 364.561, 126.044, 123.422, 122.613, 138.849, 363.672, 132.015, 118.284, 125.008, 
57.8965, 72.2357, 69.1592, 52.8961, 144.402, 51.672, 49.2646, 179.095, 55.6237, 181.064, 64.7843, 72.0139, 55.8928, 59.975, 52.6213, 
381.245, 380.179, 369.363, 375.112, 377.944, 374.249, 434.16, 367.971, 381.359, 374.035, 371.401, 394.695, 359.111, 389.681, 379.772, 
262.21, 261.191, 261.228, 268.339, 262.176, 262.421, 259.555, 265.972, 264.278, 263.182, 259.26, 268.153, 260.292, 266.486, 257.278, 
217.164, 215.972, 215.033, 218.392, 215.676, 216.85, 375.255, 214.637, 217.129, 214.262, 214.227, 375.742, 219.128, 224.234, 215.33, 
362.62, 365.94, 362.956, 362.509, 363.38, 363.424, 362.337, 363.399, 365.949, 366.557, 362.548, 364.409, 364.715, 362.902, 366.412, 
414.249, 413.797, 298.906, 296.897, 294.119, 299.563, 303.163, 290.558, 413.062, 409.777, 291.842, 290.147, 414.541, 294.258, 290.426, 
387.79, 394.696, 404.294, 389.746, 392.251, 391.306, 384.766, 380.317, 387.995, 392.287, 388.592, 382.161, 385.119, 392.892, 388.835, 
403.163, 403.723, 402.844, 402.384, 404.451, 401.823, 403.164, 403.74, 404.985, 404.428, 402.676, 403.086, 402.95, 403.567, 402.539, 
332.074, 332.129, 318.305, 309.23, 317.753, 327.344, 333.021, 327.966, 332.952, 326.752, 328.005, 317.329, 339.301, 327.355, 316.803, 
26.4764, 26.6833, 26.1534, 25.9808, 27.7669, 26.4386, 27.2029, 28.6356, 30.7734, 28.3196, 27.037, 25.0599, 25.5147, 24.9399, 28.7576, 
92.4662, 108.208, 93.1558, 95.781, 85.188, 78.8036, 89.3141, 93.1665, 89.3196, 91.0385, 63, 89.6326, 62.0484, 117.103, 80.8084, 
39.4842, 57.7408, 38.0395, 43.9545, 41.6533, 41.6293, 41.7373, 44.8999, 44.2154, 40.5216, 46.7012, 51.1859, 41.8688, 63.5295, 43.909, 
295.483, 308.995, 298.292, 295.357, 293.297, 296.388, 295.269, 297.748, 297.627, 295.949, 295.503, 300.694, 296.115, 308.031, 297.792, 
90.0999, 33.6749, 90.3549, 251.583, 30.692, 251.062, 250.294, 30.4631, 249.736, 250.944, 249.351, 30.0832, 251.531, 92.038, 28.0713, 
451.284, 449.373, 450.001, 453.547, 450.459, 419.851, 450.102, 453.658, 470.968, 450.144, 449.276, 419.771, 449.209, 452.593, 448.481, 
274.927, 270.394, 269.204, 273.775, 274.416, 273.313, 272.742, 268.2, 275.073, 273.761, 272.621, 271.86, 264.365, 271.656, 272.208, 
