first_home_book, 0
358.716, 358.194, 360.074, 361.508, 364.258, 358.274, 385.383, 472.863, 460.471, 407.198, 354.825, 459.224, 393.196, 394.124, 459.628, 427.309, 332.596, 409.821, 337.556, 438.665, 332.385, 362.084, 331.982, 356.79, 358.6, 352.369, 360.74, 357.529, 369.885, 357.674, 
242.662, 235.79, 234.404, 245.927, 229.408, 232.906, 282.184, 68.942, 263.812, 58.9661, 282.913, 48.9796, 287.868, 300.273, 289.905, 331.131, 311.699, 46.1844, 59.3127, 61.8466, 282.956, 231.18, 297.738, 230.946, 231.994, 241.752, 269.026, 238.967, 230.183, 235.928, 
140.996, 127.13, 130.683, 144.986, 121.107, 122.874, 363.248, 256.09, 157.594, 69.9071, 364.561, 167.024, 248.032, 279.728, 209.826, 397.83, 285.666, 138.514, 131.053, 216.564, 230.017, 126.044, 213.056, 123.422, 122.613, 138.849, 363.672, 132.015, 118.284, 125.008, 
57.8965, 72.2357, 69.1592, 52.8961, 144.402, 51.672, 245.53, 206.683, 92.7955, 78.0769, 49.2646, 116.284, 101.366, 72.215, 79.5487, 120.847, 74.1889, 217.821, 202.215, 199.78, 91.7987, 179.095, 207.034, 55.6237, 181.064, 64.7843, 72.0139, 55.8928, 59.975, 52.6213, 
381.245, 380.179, 369.363, 375.112, 377.944, 374.249, 419.695, 379.378, 355.532, 359.377, 434.16, 367.517, 374.594, 355.166, 335.506, 357.93, 355.474, 428.949, 424.674, 336.027, 333.984, 367.971, 352.291, 381.359, 374.035, 371.401, 394.695, 359.111, 389.681, 379.772, 
262.21, 261.191, 261.228, 268.339, 262.176, 262.421, 251.054, 372.851, 219.059, 259.233, 259.555, 268.283, 300.128, 335.605, 319.439, 279.287, 271.183, 310.773, 233.011, 261.966, 348.885, 265.972, 286.864, 264.278, 263.182, 259.26, 268.153, 260.292, 266.486, 257.278, 
217.164, 215.972, 215.033, 218.392, 215.676, 216.85, 200.322, 198.937, 182.529, 189.679, 375.255, 185.14, 181.243, 187.651, 159.524, 179.006, 171.622, 388.868, 410.841, 188.743, 182.518, 214.637, 390.852, 217.129, 214.262, 214.227, 375.742, 219.128, 224.234, 215.33, 
362.62, 365.94, 362.956, 362.509, 363.38, 363.424, 391.466, 383.578, 382.334, 380.384, 362.337, 404.737, 368.87, 384.403, 381.066, 364.816, 390.73, 295.963, 337.852, 287.581, 294.348, 363.399, 371.926, 365.949, 366.557, 362.548, 364.409, 364.715, 362.902, 366.412, 
414.249, 413.797, 298.906, 296.897, 294.119, 299.563, 424.172, 292.128, 271.926, 281.423, 303.163, 422.592, 309.538, 219.939, 295.246, 417.221, 317.41, 307.13, 295.183, 222.153, 256.439, 290.558, 227.134, 413.062, 409.777, 291.842, 290.147, 414.541, 294.258, 290.426, 
387.79, 394.696, 404.294, 389.746, 392.251, 391.306, 382.477, 375.549, 382.66, 419.373, 384.766, 373.69, 409.44, 376.245, 433.284, 235.459, 410.898, 410.738, 354.587, 311.318, 405.885, 380.317, 327.669, 387.995, 392.287, 388.592, 382.161, 385.119, 392.892, 388.835, 
